2026-02-15 05:12:25 | INFO     | config | Loaded config from C:\picko-scripts\config\config.yml
2026-02-15 05:12:25 | WARNING  | scoring | No embedding in content, defaulting novelty to 0.5
2026-02-15 05:14:17 | WARNING  | config | API key not found in environment: NONEXISTENT_KEY
2026-02-15 05:14:17 | INFO     | config | Loaded config from C:\Users\BuddleAbbey\AppData\Local\Temp\pytest-of-BuddleAbbey\pytest-52\test_load_config_success0\config.yml
2026-02-15 05:14:17 | INFO     | config | Loaded config from C:\picko-scripts\config\config.yml
2026-02-15 05:14:21 | INFO     | vault_io | Wrote note: C:\Users\BuddleAbbey\AppData\Local\Temp\pytest-of-BuddleAbbey\pytest-52\test_write_and_read_note0\vault\Inbox\Inputs\test_123.md
2026-02-15 05:14:21 | INFO     | vault_io | Wrote note: C:\Users\BuddleAbbey\AppData\Local\Temp\pytest-of-BuddleAbbey\pytest-52\test_list_notes0\vault\Inbox\Inputs\test_0.md
2026-02-15 05:14:21 | INFO     | vault_io | Wrote note: C:\Users\BuddleAbbey\AppData\Local\Temp\pytest-of-BuddleAbbey\pytest-52\test_list_notes0\vault\Inbox\Inputs\test_1.md
2026-02-15 05:14:21 | INFO     | vault_io | Wrote note: C:\Users\BuddleAbbey\AppData\Local\Temp\pytest-of-BuddleAbbey\pytest-52\test_list_notes0\vault\Inbox\Inputs\test_2.md
2026-02-15 05:14:21 | INFO     | vault_io | Wrote note: C:\Users\BuddleAbbey\AppData\Local\Temp\pytest-of-BuddleAbbey\pytest-52\test_update_frontmatter0\vault\Inbox\Inputs\test.md
2026-02-15 05:14:21 | INFO     | vault_io | Wrote note: C:\Users\BuddleAbbey\AppData\Local\Temp\pytest-of-BuddleAbbey\pytest-52\test_update_frontmatter0\vault\Inbox\Inputs\test.md
2026-02-15 05:14:21 | INFO     | config | Loaded config from C:\picko-scripts\config\config.yml
2026-02-15 05:14:21 | WARNING  | scoring | No embedding in content, defaulting novelty to 0.5
2026-02-15 05:14:46 | WARNING  | config | API key not found in environment: NONEXISTENT_KEY
2026-02-15 05:14:46 | INFO     | config | Loaded config from C:\Users\BuddleAbbey\AppData\Local\Temp\pytest-of-BuddleAbbey\pytest-53\test_load_config_success0\config.yml
2026-02-15 05:14:46 | INFO     | config | Loaded config from C:\picko-scripts\config\config.yml
2026-02-15 05:14:49 | INFO     | vault_io | Wrote note: C:\Users\BuddleAbbey\AppData\Local\Temp\pytest-of-BuddleAbbey\pytest-53\test_write_and_read_note0\vault\Inbox\Inputs\test_123.md
2026-02-15 05:14:49 | INFO     | vault_io | Wrote note: C:\Users\BuddleAbbey\AppData\Local\Temp\pytest-of-BuddleAbbey\pytest-53\test_list_notes0\vault\Inbox\Inputs\test_0.md
2026-02-15 05:14:49 | INFO     | vault_io | Wrote note: C:\Users\BuddleAbbey\AppData\Local\Temp\pytest-of-BuddleAbbey\pytest-53\test_list_notes0\vault\Inbox\Inputs\test_1.md
2026-02-15 05:14:49 | INFO     | vault_io | Wrote note: C:\Users\BuddleAbbey\AppData\Local\Temp\pytest-of-BuddleAbbey\pytest-53\test_list_notes0\vault\Inbox\Inputs\test_2.md
2026-02-15 05:14:49 | INFO     | vault_io | Wrote note: C:\Users\BuddleAbbey\AppData\Local\Temp\pytest-of-BuddleAbbey\pytest-53\test_update_frontmatter0\vault\Inbox\Inputs\test.md
2026-02-15 05:14:49 | INFO     | vault_io | Wrote note: C:\Users\BuddleAbbey\AppData\Local\Temp\pytest-of-BuddleAbbey\pytest-53\test_update_frontmatter0\vault\Inbox\Inputs\test.md
2026-02-15 05:14:49 | INFO     | config | Loaded config from C:\picko-scripts\config\config.yml
2026-02-15 05:14:49 | WARNING  | scoring | No embedding in content, defaulting novelty to 0.5
2026-02-15 05:27:21 | WARNING  | config | API key not found in environment: NONEXISTENT_KEY
2026-02-15 05:27:21 | INFO     | config | Loaded config from C:\Users\BuddleAbbey\AppData\Local\Temp\pytest-of-BuddleAbbey\pytest-54\test_load_config_success0\config.yml
2026-02-15 05:27:21 | INFO     | config | Loaded config from C:\picko-scripts\config\config.yml
2026-02-15 05:27:24 | INFO     | vault_io | Wrote note: C:\Users\BuddleAbbey\AppData\Local\Temp\pytest-of-BuddleAbbey\pytest-54\test_write_and_read_note0\vault\Inbox\Inputs\test_123.md
2026-02-15 05:27:24 | INFO     | vault_io | Wrote note: C:\Users\BuddleAbbey\AppData\Local\Temp\pytest-of-BuddleAbbey\pytest-54\test_list_notes0\vault\Inbox\Inputs\test_0.md
2026-02-15 05:27:24 | INFO     | vault_io | Wrote note: C:\Users\BuddleAbbey\AppData\Local\Temp\pytest-of-BuddleAbbey\pytest-54\test_list_notes0\vault\Inbox\Inputs\test_1.md
2026-02-15 05:27:24 | INFO     | vault_io | Wrote note: C:\Users\BuddleAbbey\AppData\Local\Temp\pytest-of-BuddleAbbey\pytest-54\test_list_notes0\vault\Inbox\Inputs\test_2.md
2026-02-15 05:27:24 | INFO     | vault_io | Wrote note: C:\Users\BuddleAbbey\AppData\Local\Temp\pytest-of-BuddleAbbey\pytest-54\test_update_frontmatter0\vault\Inbox\Inputs\test.md
2026-02-15 05:27:24 | INFO     | vault_io | Wrote note: C:\Users\BuddleAbbey\AppData\Local\Temp\pytest-of-BuddleAbbey\pytest-54\test_update_frontmatter0\vault\Inbox\Inputs\test.md
2026-02-15 05:27:24 | INFO     | config | Loaded config from C:\picko-scripts\config\config.yml
2026-02-15 05:27:24 | WARNING  | scoring | No embedding in content, defaulting novelty to 0.5
